;Czech;Slovak;Polish;Russian;Ukrainian;Bulgarian;Croatian;Serbian;Slovenian;Church Slavonic;Latvian;English;German;Gothic;Dutch;Afrikaans;Norwegian Bokmaal;Norwegian Nynorsk;Swedish;Danish;Spanish;Catalan;Galician;French;Portuguese;Brasil;Italian;Romanian;Latin;Finnish;Estonian;Hungarian;Greek;Ancient Greek;Hebrew;Arabic;Hindi;Urdu;Persian;Japanese;Chinese;Korean;Indonesian;Vietnamese;Basque;Turkish
Czech;1;0.89567372537768;0.795170816228759;0.884275150503765;0.927430923556853;0.89664689101463;0.771611212149902;0.607420229982363;0.868905523620894;0.414214384399734;0.857127746066218;0.582858557026768;0.807645128690533;0.381242240531076;0.836866770818717;0.657778471001603;0.654751924533658;0.730865772196852;0.642899222411519;0.663376648929594;0.778325536907485;0.850318334804814;0.0583586584831076;0.618798707433526;0.221580317169355;0.162747124828211;0.49277660731607;0.778595013134487;0.718823474360669;0.713420225884207;0.842669721430698;0.38609284681977;0.750992998990947;0.616932215496981;0.134949344444927;0.00856387545177799;0.138122227810542;0.0790894486903585;0.18228751992174;-0.0365113415786867;0.357867785331056;0.142248904342478;0.423252923429694;0.248573346236765;0.809448772262038;0.754504597837599
Slovak;0.89567372537768;1;0.623924394228391;0.83925115711612;0.870940028083513;0.848788585234704;0.890182553346973;0.756875450791871;0.830268134491348;0.385672113880841;0.813842549573698;0.529634164550322;0.801357094402026;0.338638066772891;0.789067520896643;0.682637244542283;0.612404617899409;0.658265875981436;0.595795539334283;0.630582824145398;0.588195857955725;0.674824337970803;0.0130657055923619;0.428513076139623;0.145570748110889;0.0847725628252772;0.347221850979494;0.642590496390913;0.592285409440959;0.653228419408894;0.793796355597656;0.333263191310127;0.669887112720201;0.551055339002702;0.108995344105256;-0.0016144302327411;0.091970008504245;0.0414300207589283;0.068823611609302;-0.0371546736459942;0.423776276692123;0.0625524544202399;0.362361228824142;0.197324900318302;0.799467368770798;0.69639848591598
Polish;0.795170816228759;0.623924394228391;1;0.597016348460893;0.694100606641904;0.645923856792717;0.499894173492943;0.381591111253529;0.59400514545061;0.326089215641456;0.543314868954468;0.386519512512269;0.493929446979051;0.307740377846279;0.503438780862129;0.37883002968635;0.440298758272872;0.579327076078637;0.409644680057478;0.431251208673435;0.935271286209277;0.921846802393373;0.122273760169864;0.754501986813991;0.26386118626161;0.266446113098281;0.593256365514278;0.677199860129684;0.687621312143373;0.439634241088215;0.518936250924799;0.255225952483355;0.562001023852066;0.462904566552361;0.0780000421666643;0.0106309823634999;0.0573603872166886;0.0471463711666217;0.264447112386615;-0.0302140641194056;0.172029827424656;0.0699194500134386;0.24890424592745;0.179265991738715;0.563345777107549;0.525508181710947
Russian;0.884275150503765;0.83925115711612;0.597016348460893;1;0.963361477075598;0.913423574540312;0.77902264749113;0.613041124605644;0.892276253641954;0.440569616449907;0.943126515425142;0.496258810942827;0.831726093199597;0.402428387839586;0.853887749982011;0.664123882909735;0.640511175517419;0.688404365527144;0.587958582720687;0.588906611549901;0.59654282887953;0.690373113831267;0.0436627560702829;0.418130506181207;0.152586379958876;0.0602857375764292;0.360824020163339;0.643867334136177;0.686392410253686;0.662379104096307;0.831359112319037;0.325042889175176;0.700744255647786;0.632069486477201;0.116307844985551;0.0243267956232242;0.132447777366343;0.101047543948177;0.0953409154126949;-0.0299924001252817;0.378713208023742;-0.00759347053566995;0.408373761222522;0.241254852920581;0.731220249665078;0.75296806359395
Ukrainian;0.927430923556853;0.870940028083513;0.694100606641904;0.963361477075598;1;0.912537575150033;0.77267268057159;0.600709551480028;0.90730027747955;0.446848154498947;0.928656131954689;0.564440159400279;0.869607480617828;0.405934416854714;0.890181684745551;0.699621946448708;0.663210801082155;0.717504495681198;0.641818814886627;0.643109919686695;0.677776456291292;0.763442451773163;0.0557504424548577;0.511425819434369;0.191292147194586;0.108123024146455;0.417606502565116;0.678674782271009;0.728023146922958;0.723306915560984;0.876770815539447;0.390345799534063;0.735003078747092;0.67379160944834;0.121655454768832;0.0176243372589113;0.149045576371914;0.0903619651426617;0.097056519621213;-0.0292971595856563;0.387098567518315;-0.0156917154431775;0.387325589546699;0.234496261833486;0.769297511066988;0.78982430423087
Bulgarian;0.89664689101463;0.848788585234704;0.645923856792717;0.913423574540312;0.912537575150033;1;0.725672975339575;0.584199760574208;0.852662209740169;0.467050935142371;0.898888630493396;0.652246843213098;0.797947732932118;0.419455274054758;0.803223432092327;0.592891046905786;0.731684613696108;0.782581865464456;0.733654158963096;0.717026662857886;0.67747879826659;0.77205347803081;0.0275305832500817;0.524364206371114;0.195951880289229;0.129594499730002;0.425757771791104;0.728595987441269;0.671330878472079;0.704437161140991;0.850618568453983;0.29823796494835;0.795966087517167;0.624382443338851;0.13760088820678;0.0095050323824262;0.0575722928069277;0.0748533620205783;0.103510083849942;-0.0351616899155384;0.301629844666431;0.023055565060295;0.35468819498838;0.188557868393035;0.743916628237644;0.731839369588858
Croatian;0.771611212149902;0.890182553346973;0.499894173492943;0.77902264749113;0.77267268057159;0.725672975339575;1;0.917953055545263;0.782862962305945;0.318217558755201;0.750829589923683;0.336962349986792;0.744423738070421;0.282515312699941;0.723369419703731;0.76766659592197;0.500871011920242;0.544875585029527;0.414134672613192;0.438551747769558;0.452664550758265;0.541435527158597;0.00624719287272123;0.281842443743908;0.0801853050890808;0.00356687631269965;0.251825143286349;0.462371440931386;0.531109726957049;0.496157394714576;0.662478753872427;0.287469056997742;0.506807317034505;0.482395190671769;0.064353573796709;0.00491720678215781;0.0737061151942998;0.0609967966555883;0.0809155166638737;-0.0326489174029136;0.395012442100084;-0.0218772523958714;0.299532652410117;0.18697419144268;0.746890987966657;0.588771082201286
Serbian;0.607420229982363;0.756875450791871;0.381591111253529;0.613041124605644;0.600709551480028;0.584199760574208;0.917953055545263;1;0.622101662264563;0.281965035432896;0.577056119851903;0.234469448212696;0.584992632046684;0.233035589832071;0.534352080951389;0.604449705691625;0.408489894567564;0.468661848681312;0.327586745805808;0.354722943002035;0.346350013549735;0.429920842024158;-0.00365967864576995;0.177050205792785;0.047845636917559;-0.0128971787937778;0.186588188587963;0.346424522007376;0.355654220462798;0.349219271388775;0.509847521637872;0.241466597493679;0.439340364563429;0.341542873274612;0.0798443814593291;0.0156398322648987;0.00310476003137904;-0.00498300178303633;0.0183226240950964;-0.0298720312895932;0.295753230508784;-0.0256047560133455;0.19183376660227;0.11121061477698;0.630458513796946;0.456054553577197
Slovenian;0.868905523620894;0.830268134491348;0.59400514545061;0.892276253641954;0.90730027747955;0.852662209740169;0.782862962305945;0.622101662264563;1;0.36570874928908;0.876697482979851;0.548439615507036;0.863632931107681;0.334729786390926;0.87177684910836;0.739764208713958;0.625370633513437;0.646878752859722;0.634737261485901;0.620048435937551;0.560415036892125;0.656015157877394;0.0153663840145318;0.435213118776305;0.14443136879877;0.0508552337635192;0.33029100515068;0.615164239176116;0.628094833987113;0.721097889718924;0.836355950584833;0.34347713059957;0.661594015899309;0.621349345803699;0.094200954065277;-0.000366083753461692;0.16589999217683;0.092925712249089;0.0862161354827077;-0.0327815470650809;0.394779362885404;0.0215335512974436;0.389585636709021;0.231826769739702;0.76801171621261;0.712008172268274
Church Slavonic;0.414214384399734;0.385672113880841;0.326089215641456;0.440569616449907;0.446848154498947;0.467050935142371;0.318217558755201;0.281965035432896;0.36570874928908;1;0.428094423288576;0.353825625969551;0.299467906536105;0.974661671691225;0.308710125874645;0.142390247558244;0.347985527544275;0.395649270733898;0.360350405437814;0.317217958520393;0.355244447946203;0.396497460724901;0.0459628144517583;0.260571206911557;0.122926515406476;0.0889498214840002;0.243646351311705;0.414721858964758;0.702438666205205;0.301912535415228;0.383631826056833;0.177598109619395;0.46723397150538;0.706411813802479;0.0672393943484034;-0.0172885975236885;0.078702675692758;0.176070833994322;0.0434353445611969;-0.0360434751528593;0.0888964891981009;-0.0332370102546659;0.221723338705014;0.153552110291394;0.531166553363298;0.332931628275057
Latvian;0.857127746066218;0.813842549573698;0.543314868954468;0.943126515425142;0.928656131954689;0.898888630493396;0.750829589923683;0.577056119851903;0.876697482979851;0.428094423288576;1;0.566310504402867;0.854218183436825;0.395544448310503;0.853513752568342;0.69879115658662;0.711178221235893;0.750140580119833;0.627889523974619;0.616033079103901;0.544209321531516;0.652176777182154;0.0309235364147772;0.376441314431872;0.142216173438739;0.076664994920295;0.32805008372391;0.597147655206282;0.681136472730539;0.759187342109504;0.879092517466104;0.373932838641322;0.731141313683689;0.701247064254234;0.123865126326982;0.0251974483965463;0.177167759517108;0.264250887205239;0.261680849452592;-0.0298674430236342;0.38291078974673;-0.0372279534691229;0.358579984621407;0.217764625714501;0.742730309678488;0.733078642762605
English;0.582858557026768;0.529634164550322;0.386519512512269;0.496258810942827;0.564440159400279;0.652246843213098;0.336962349986792;0.234469448212696;0.548439615507036;0.353825625969551;0.566310504402867;1;0.583549635289312;0.32359076480121;0.547005122806356;0.40338101631444;0.77789831070811;0.722446295390153;0.930984110313853;0.874912876811853;0.517019500749855;0.581086199734673;0.00215954659053607;0.602261498685043;0.264455147772708;0.239319477293751;0.370213165993453;0.647448729578013;0.436177310117277;0.819532506964302;0.779851372265325;0.0687519172691339;0.806065193402153;0.500508231232469;0.13620740669268;-0.0278208514718218;0.105494180736479;0.287367601132398;0.26218813598212;-0.025950693474059;0.101746784241417;0.0834314935140324;0.257395917013347;0.0687861459252441;0.524576388237438;0.550459793751248
German;0.807645128690533;0.801357094402026;0.493929446979051;0.831726093199597;0.869607480617828;0.797947732932118;0.744423738070421;0.584992632046684;0.863632931107681;0.299467906536105;0.854218183436825;0.583549635289312;1;0.282961333610544;0.947509190231245;0.796968400329642;0.743103512023622;0.711177957336036;0.69433200854034;0.719679884344618;0.505442621815694;0.597054384703017;0.0399151166918854;0.424370869787095;0.175023155496499;0.0927555383506333;0.327410806601344;0.553903556735088;0.589305137340999;0.755736371090833;0.881591557905809;0.342090765385415;0.637885861286421;0.580886749502942;0.0771365635816176;-0.00266241354096364;0.217698942415497;0.127708713608654;0.141598140503347;-0.0392548464615199;0.42909479518829;-0.0287948223608869;0.367591598469949;0.209691881210189;0.720241127514441;0.743812974913508
Gothic;0.381242240531076;0.338638066772891;0.307740377846279;0.402428387839586;0.405934416854714;0.419455274054758;0.282515312699941;0.233035589832071;0.334729786390926;0.974661671691225;0.395544448310503;0.32359076480121;0.282961333610544;1;0.29053116777474;0.153550158897708;0.319895824742295;0.35598342237692;0.325927530871315;0.302890420434935;0.339782533658798;0.371306121412691;0.014063533896813;0.250968133624801;0.0898590907943946;0.0591019895474134;0.207048961486783;0.373296232245177;0.717363101432285;0.278270216399173;0.350044900252032;0.145196569940894;0.401078048679848;0.670243742309111;0.0473473201090012;-0.028951910965565;0.0652024676680895;0.166722805663417;0.078332497315145;-0.0356272422534243;0.149712200552427;-0.0272026384672121;0.18807598501173;0.181650890044432;0.484557075217857;0.313066284610314
Dutch;0.836866770818717;0.789067520896643;0.503438780862129;0.853887749982011;0.890181684745551;0.803223432092327;0.723369419703731;0.534352080951389;0.87177684910836;0.308710125874645;0.853513752568342;0.547005122806356;0.947509190231245;0.29053116777474;1;0.798300870519798;0.693336889205599;0.670494743329635;0.665075758127541;0.685627712819702;0.499715641699687;0.598391696890094;0.00655613437919844;0.406920881020532;0.133922556038962;0.0428955788173115;0.297613110172687;0.55312835391854;0.625021016670744;0.760624339801629;0.881757824790757;0.390474393701678;0.609881973474054;0.607197216562601;0.0660390816616623;-0.0189436181313051;0.228428049108833;0.0790016672515122;0.0471785280951018;-0.0341156937724397;0.433443265167303;-0.0350976625279383;0.356336020398486;0.22527489032037;0.73489325630183;0.739312642488153
Afrikaans;0.657778471001603;0.682637244542283;0.37883002968635;0.664123882909735;0.699621946448708;0.592891046905786;0.76766659592197;0.604449705691625;0.739764208713958;0.142390247558244;0.69879115658662;0.40338101631444;0.796968400329642;0.153550158897708;0.798300870519798;1;0.47966541503943;0.441462324318518;0.446058799851427;0.473150141055503;0.370866844793022;0.437575146055574;-0.0146781639438612;0.317273871233437;0.0796611243373444;-0.00853679948709496;0.202566016330716;0.391514034983266;0.535486721788959;0.601248044510772;0.709075398008058;0.250713752198204;0.39583483203754;0.454120045786976;-0.0129122201290088;-0.0458694726430084;0.180966685591169;0.14494107171887;0.186638156513138;-0.0334416419557559;0.450482745658529;-0.027520409461161;0.31236721381098;0.204525879948671;0.662304408908104;0.555443944479479
Norwegian Bokmaal;0.654751924533658;0.612404617899409;0.440298758272872;0.640511175517419;0.663210801082155;0.731684613696108;0.500871011920242;0.408489894567564;0.625370633513437;0.347985527544275;0.711178221235893;0.77789831070811;0.743103512023622;0.319895824742295;0.693336889205599;0.47966541503943;1;0.951311766725204;0.839023944042858;0.841458147294289;0.517421984213536;0.598293264073513;0.00564850747484663;0.473103592626307;0.188309568154846;0.154853335033403;0.343433219530115;0.563107341568021;0.47859352773512;0.743697250037375;0.816856836282824;0.138917300654646;0.743923065898796;0.5198613736962;0.112425312822072;-0.0195137381099078;0.0728079623479105;0.309329455456609;0.333566954332935;-0.0355652257131928;0.152459284886376;-0.0185402798173731;0.239031839469598;0.0895410540165401;0.526330541156134;0.64008989175627
Norwegian Nynorsk;0.730865772196852;0.658265875981436;0.579327076078637;0.688404365527144;0.717504495681198;0.782581865464456;0.544875585029527;0.468661848681312;0.646878752859722;0.395649270733898;0.750140580119833;0.722446295390153;0.711177957336036;0.35598342237692;0.670494743329635;0.441462324318518;0.951311766725204;1;0.793742905476921;0.797633439092193;0.621185880134799;0.701867066754807;0.0311305308843886;0.512024141073168;0.205646110268006;0.185761934092838;0.406006442630979;0.607953489887551;0.533016421112987;0.726961733259717;0.809062024510208;0.215507810178055;0.79970098857312;0.557792800032064;0.143066182679682;0.000650838997960036;0.0560446590055247;0.282896842353482;0.3809333985723;-0.0373613019736429;0.133957622141682;-0.00172751845843105;0.222875114612005;0.0930965723300037;0.550706400620481;0.658744079787852
Swedish;0.642899222411519;0.595795539334283;0.409644680057478;0.587958582720687;0.641818814886627;0.733654158963096;0.414134672613192;0.327586745805808;0.634737261485901;0.360350405437814;0.627889523974619;0.930984110313853;0.69433200854034;0.325927530871315;0.665075758127541;0.446058799851427;0.839023944042858;0.793742905476921;1;0.960149359079514;0.513925812647983;0.595585259779414;0.0166750852133585;0.574527923429192;0.258778551456386;0.20757599580324;0.369295954694503;0.652825411057523;0.426511388833101;0.799954480654663;0.839187737003816;0.118823685551335;0.823600071801016;0.481598968803595;0.156693956549879;-0.00829017385959379;0.0380825496567178;0.130928487215771;0.133083786276313;-0.0277472953747301;0.124179129397648;0.011421106839276;0.24697835685966;0.0734272386402803;0.520755183095761;0.611194605401163
Danish;0.663376648929594;0.630582824145398;0.431251208673435;0.588906611549901;0.643109919686695;0.717026662857886;0.438551747769558;0.354722943002035;0.620048435937551;0.317217958520393;0.616033079103901;0.874912876811853;0.719679884344618;0.302890420434935;0.685627712819702;0.473150141055503;0.841458147294289;0.797633439092193;0.960149359079514;1;0.54956888304271;0.625124581429577;0.0250690247187989;0.589885998403297;0.265439069570321;0.21103407964152;0.383534603231151;0.627872917057834;0.417056726420978;0.766338453590747;0.838409031031766;0.104131602672606;0.790885995336445;0.414720215967623;0.144647945512533;-0.0128388765994312;-0.00892326033849336;0.0573210272622034;0.136380007338053;-0.0306849341501243;0.249916847741616;0.0316893868376714;0.257260199339713;0.0962734708420055;0.506287921965392;0.666523558919466
Spanish;0.778325536907485;0.588195857955725;0.935271286209277;0.59654282887953;0.677776456291292;0.67747879826659;0.452664550758265;0.346350013549735;0.560415036892125;0.355244447946203;0.544209321531516;0.517019500749855;0.505442621815694;0.339782533658798;0.499715641699687;0.370866844793022;0.517421984213536;0.621185880134799;0.513925812647983;0.54956888304271;1;0.975070600752849;0.217573860264948;0.887510803981134;0.400993626343861;0.398617446947129;0.710090217792506;0.758566311795797;0.692194421241422;0.475113821603502;0.568237249443068;0.146273399337544;0.628102802220714;0.446921284534322;0.125020138014942;0.0440948153220967;-0.00273727925448064;0.074887474299785;0.306234948555448;-0.032210518478016;0.172114426275628;0.138628383940649;0.329509050665617;0.191089941816433;0.588449037910278;0.560007865683638
Catalan;0.850318334804814;0.674824337970803;0.921846802393373;0.690373113831267;0.763442451773163;0.77205347803081;0.541435527158597;0.429920842024158;0.656015157877394;0.396497460724901;0.652176777182154;0.581086199734673;0.597054384703017;0.371306121412691;0.598391696890094;0.437575146055574;0.598293264073513;0.701867066754807;0.595585259779414;0.625124581429577;0.975070600752849;1;0.181208410495569;0.838376541333405;0.369544009279148;0.339518931651896;0.67221814949633;0.767644588767743;0.702525931237306;0.561158204264802;0.667143910402343;0.212280017242877;0.721315474081795;0.506574719949164;0.138641726403828;0.0216665167815695;0.0172340770664084;0.0659825513709961;0.26975912931609;-0.0317265222740555;0.206079669112164;0.105171234472174;0.318758789074303;0.191653273734853;0.645609182047637;0.629527768308046
